"","time","minute","minutes_after_dark","period","subject_race"
"1",17:40:00,1060,9,"night","white"
"2",18:05:00,1085,34,"night","white"
"3",18:06:00,1086,35,"night","white"
"4",18:20:00,1100,49,"night","white"
"5",18:30:00,1110,59,"night","white"
"6",18:31:00,1111,60,"night","white"
"7",18:40:00,1120,69,"night","white"
"8",18:45:00,1125,74,"night","black"
"9",18:50:00,1130,79,"night","white"
"10",18:59:00,1139,88,"night","black"
"11",19:00:00,1140,89,"night","white"
"12",19:04:00,1144,93,"night","white"
"13",19:20:00,1160,109,"night","black"
"14",19:27:00,1167,116,"night","black"
"15",19:30:00,1170,119,"night","black"
"16",19:45:00,1185,134,"night","white"
"17",20:07:00,1207,156,"night","black"
"18",20:16:00,1216,165,"night","black"
"19",20:40:00,1240,189,"night","black"
"20",21:00:00,1260,209,"night","black"
"21",17:44:00,1064,12,"night","white"
"22",17:52:00,1072,20,"night","white"
"23",17:52:00,1072,20,"night","white"
"24",17:58:00,1078,26,"night","black"
"25",18:05:00,1085,33,"night","black"
"26",18:10:00,1090,38,"night","black"
"27",18:10:00,1090,38,"night","black"
"28",18:30:00,1110,58,"night","black"
"29",18:38:00,1118,66,"night","black"
"30",18:41:00,1121,69,"night","black"
"31",18:41:00,1121,69,"night","black"
"32",18:45:00,1125,73,"night","black"
"33",18:45:00,1125,73,"night","white"
"34",18:45:00,1125,73,"night","white"
"35",19:00:00,1140,88,"night","black"
"36",19:00:00,1140,88,"night","black"
"37",19:02:00,1142,90,"night","white"
"38",19:10:00,1150,98,"night","white"
"39",19:19:00,1159,107,"night","black"
"40",19:20:00,1160,108,"night","white"
"41",19:30:00,1170,118,"night","black"
"42",19:35:00,1175,123,"night","white"
"43",19:40:00,1180,128,"night","black"
"44",19:40:00,1180,128,"night","white"
"45",19:41:00,1181,129,"night","black"
"46",19:46:00,1186,134,"night","black"
"47",19:51:00,1191,139,"night","white"
"48",20:00:00,1200,148,"night","white"
"49",20:13:00,1213,161,"night","black"
"50",20:20:00,1220,168,"night","black"
"51",20:30:00,1230,178,"night","black"
"52",20:38:00,1238,186,"night","black"
"53",20:40:00,1240,188,"night","white"
"54",20:42:00,1242,190,"night","white"
"55",20:45:00,1245,193,"night","white"
"56",20:50:00,1250,198,"night","white"
"57",20:55:00,1255,203,"night","white"
"58",21:05:00,1265,213,"night","white"
"59",17:33:00,1053,0,"day","black"
"60",17:35:00,1055,2,"night","white"
"61",17:40:00,1060,7,"night","black"
"62",17:55:00,1075,22,"night","white"
"63",18:01:00,1081,28,"night","white"
"64",18:05:00,1085,32,"night","white"
"65",18:10:00,1090,37,"night","black"
"66",18:10:00,1090,37,"night","black"
"67",18:15:00,1095,42,"night","white"
"68",18:20:00,1100,47,"night","white"
"69",18:20:00,1100,47,"night","white"
"70",18:22:00,1102,49,"night","white"
"71",18:25:00,1105,52,"night","white"
"72",18:32:00,1112,59,"night","white"
"73",18:45:00,1125,72,"night","white"
"74",18:46:00,1126,73,"night","white"
"75",18:50:00,1130,77,"night","white"
"76",18:55:00,1135,82,"night","black"
"77",19:00:00,1140,87,"night","white"
